Grid,LatN,LonW,Lat_deg,Lat_min,Lon_deg,Lon_min,Area,Areacode,Basin,Grid_M
1,61.292,-116.75,61,17.5,-116,45,IW,11,WB,4
2,61.292,-116.583,61,17.5,-116,35,IW,11,WB,5
3,61.208,-116.583,61,12.5,-116,35,IW,11,WB,3.5
4,61.208,-116.417,61,12.5,-116,25,IW,11,WB,9
5,61.125,-116.417,61,7.5,-116,25,IW,11,WB,4
6,61.042,-116.417,61,2.5,-116,25,IW,11,WB,5
7,60.958,-116.417,60,57.5,-116,25,IW,11,WB,3
8,61.208,-116.25,61,12.5,-116,15,IW,11,WB,9
9,61.125,-116.25,61,7.5,-116,15,IW,11,WB,11
10,61.042,-116.25,61,2.5,-116,15,IW,11,WB,14
11,60.958,-116.25,60,57.5,-116,15,IW,11,WB,9
12,60.917,-116.25,60,55,-116,15,IW,11,WB,8
13,61.2,-116.083,61,12,-116,5,IW,11,WB,7
14,61.125,-116.083,61,7.5,-116,5,IW,11,WB,13
15,61.042,-116.083,61,2.5,-116,5,IW,11,WB,17
16,60.958,-116.083,60,57.5,-116,5,IW,11,WB,16
17,60.9,-116.083,60,54,-116,5,IW,12,WB,9
18,61.208,-115.917,61,12.5,-115,55,IE,12,WB,12
19,61.125,-115.917,61,7.5,-115,55,IE,12,WB,18
20,61.042,-115.917,61,2.5,-115,55,IE,12,WB,19
21,60.958,-115.917,60,57.5,-115,55,IE,12,WB,17
22,60.875,-115.917,60,52.5,-115,55,IE,12,WB,10
23,61.375,-115.75,61,22.5,-115,45,IE,12,WB,23
24,61.292,-115.75,61,17.5,-115,45,IE,12,WB,18
25,61.208,-115.75,61,12.5,-115,45,IE,12,WB,13
26,61.125,-115.75,61,7.5,-115,45,IE,12,WB,21
27,61.042,-115.75,61,2.5,-115,45,IE,12,WB,20
28,60.958,-115.75,60,57.5,-115,45,IE,12,WB,20
29,60.9,-115.75,60,54,-115,45,IE,12,WB,14
30,61.625,-115.583,61,37.5,-115,35,II,20,CB,12
31,61.542,-115.583,61,32.5,-115,35,II,20,CB,14
32,61.458,-115.583,61,27.5,-115,35,II,20,CB,37
33,61.375,-115.583,61,22.5,-115,35,IE,12,WB,40
34,61.292,-115.583,61,17.5,-115,35,IE,12,WB,60
35,61.208,-115.583,61,12.5,-115,35,IE,12,WB,32
36,61.125,-115.583,61,7.5,-115,35,IE,12,WB,27
37,61.042,-115.583,61,2.5,-115,35,IE,12,WB,31
38,60.958,-115.583,60,57.5,-115,35,IE,12,WB,22
39,60.875,-115.583,60,52.5,-115,35,IE,12,WB,10
40,61.708,-115.417,61,42.5,-115,25,II,20,CB,14
41,61.625,-115.417,61,37.5,-115,25,II,20,CB,41
42,61.542,-115.417,61,32.5,-115,25,II,20,CB,65
43,61.458,-115.417,61,27.5,-115,25,II,20,CB,61
44,61.375,-115.417,61,22.5,-115,25,II,20,CB,51
45,61.292,-115.417,61,17.5,-115,25,II,20,CB,57
